id,name,slug,category,subcategory,brand,sku,mrp,selling_price,discount_amount,stock,weight,warranty,shipping,country_of_origin,rating,reviews,featured,status,supplier,main_image,img2,img3,img4,img5,img6,short_description,description,specifications,tags
11,Nike Running Shoes,nike-running-shoes,Fashion,Footwear,Nike,NKE-RUN-01,6999,4999,500,40,0.8,No Warranty,0,Vietnam,4.6,2200,Yes,Active,Nike Distributor,https://images.unsplash.com/photo-1542291026-7eec264c27ff,https://images.unsplash.com/photo-1606107557195-0e29a4b5b4aa,https://images.unsplash.com/photo-1595950653106-6c9ebd614d3a,https://images.unsplash.com/photo-1608231387042-66d1773070a5,https://images.unsplash.com/photo-1579338559194-a162d19bf842,https://images.unsplash.com/photo-1514989940723-e8e5163ccbe8,Comfortable running shoes,Sports footwear,Lightweight Mesh,nike shoes
12,Adidas Sneakers,adidas-sneakers,Fashion,Footwear,Adidas,ADD-SNK-01,7999,5999,500,30,0.9,No Warranty,0,Vietnam,4.5,1800,No,Active,Adidas Distributor,https://images.unsplash.com/photo-1525966222134-fcfa99b8ae77,https://images.unsplash.com/photo-1587563871167-1ee9c731aefb,https://images.unsplash.com/photo-1600185365483-26d7a4cc7519,https://images.unsplash.com/photo-1539185441755-769473a23570,https://images.unsplash.com/photo-1549298916-b41d501d3772,https://images.unsplash.com/photo-1605518216938-7c31b7b14ad0,Casual sneakers,Stylish sneakers,Rubber Sole,adidas shoes
13,Levis Jeans,levis-jeans,Fashion,Men Clothing,Levis,LEV-JNS-32,2999,1999,200,60,0.5,No Warranty,0,India,4.3,1300,No,Active,Levis India,https://images.unsplash.com/photo-1542272604-787c3835535d,https://images.unsplash.com/photo-1541099649105-f69ad21f3246,https://images.unsplash.com/photo-1565084888279-aca607ecce0c,https://images.unsplash.com/photo-1582552938357-32b906df43c3,https://images.unsplash.com/photo-1516257984-b1b4d707412e,https://images.unsplash.com/photo-1475178626620-a4d074967452,Slim fit jeans,Comfortable denim,Cotton Blend,jeans levis
14,Women Kurti,women-kurti,Fashion,Women Clothing,Biba,BIBA-KRT-01,1999,999,100,80,0.4,No Warranty,0,India,4.4,780,No,Active,Biba Distributor,https://images.unsplash.com/photo-1529139574466-a303027c1d8b,https://images.unsplash.com/photo-1610030469983-98e550d6193c,https://images.unsplash.com/photo-1583391733956-3750e0ff4e8b,https://images.unsplash.com/photo-1561414927-6d86591d0c4f,https://images.unsplash.com/photo-1617627143750-d86bc21e42bb,https://images.unsplash.com/photo-1621184455862-c163dfb30e0f,Traditional kurti,Printed ethnic wear,Cotton Fabric,kurti women
15,Casio Watch,casio-watch,Fashion,Watches,Casio,CAS-WT01,4999,3499,200,35,0.2,1 Year,0,Japan,4.5,950,No,Active,Casio Dealer,https://images.unsplash.com/photo-1524805444758-089113d48a6d,https://images.unsplash.com/photo-1522312346375-d1a52e2b99b3,https://images.unsplash.com/photo-1547996160-81dfa63595aa,https://images.unsplash.com/photo-1619134778706-7015533a6150,https://images.unsplash.com/photo-1508685096489-7aacd43bd3b1,https://images.unsplash.com/photo-1612817288484-6f916006741a,Classic wrist watch,Durable watch,Water Resistant,watch casio
16,Maybelline Lipstick,maybelline-lipstick,Beauty,Makeup,Maybelline,MAY-LIP01,499,349,50,120,0.05,No Warranty,0,India,4.4,3400,Yes,Active,Beauty Supplier,https://images.unsplash.com/photo-1586495777744-4413f21062fa,https://images.unsplash.com/photo-1616150638538-ffb0679a3fc4,https://images.unsplash.com/photo-1512496015851-a90fb38ba796,https://images.unsplash.com/photo-1625093742435-6fa192b6fb10,https://images.unsplash.com/photo-1596462502278-27bfdc403348,https://images.unsplash.com/photo-1522335789203-aabd1fc54bc9,Long lasting lipstick,Matte finish lipstick,12 Hour Wear,lipstick makeup
17,Lakme Face Wash,lakme-face-wash,Beauty,Skincare,Lakme,LAK-FW01,299,199,20,100,0.15,No Warranty,0,India,4.3,1900,No,Active,Lakme Distributor,https://images.unsplash.com/photo-1556228578-dd6c3f4f0c28,https://images.unsplash.com/photo-1608248597481-496100c80836,https://images.unsplash.com/photo-1620916566398-39f1143ab7be,https://images.unsplash.com/photo-1612817288484-6f916006741a,https://images.unsplash.com/photo-1601049541289-9b1b7bbbfe19,https://images.unsplash.com/photo-1570172619644-dfd03ed5d881,Daily face wash,Refreshing cleanser,100ml Tube,skincare facewash
18,Himalaya Shampoo,himalaya-shampoo,Beauty,Hair Care,Himalaya,HIM-SHP01,250,180,20,200,0.2,No Warranty,0,India,4.2,2500,No,Active,Himalaya Distributor,https://images.unsplash.com/photo-1526947425960-945c6e72858f,https://images.unsplash.com/photo-1535585209827-a15fcdbc4c2d,https://images.unsplash.com/photo-1608248597481-496100c80836,https://images.unsplash.com/photo-1527633593624-c907764ee327,https://images.unsplash.com/photo-1617897903246-719242758050,https://images.unsplash.com/photo-1556228578-dd6c3f4f0c28,Herbal shampoo,Natural hair care,400ml Bottle,shampoo haircare
19,Tata Salt,tata-salt,Grocery,Staples,Tata,TATA-SALT1,30,28,0,500,1,No Warranty,0,India,4.8,12000,No,Active,Grocery Supplier,https://images.unsplash.com/photo-1518110925495-5fe2fda0442f,https://images.unsplash.com/photo-1608686207856-001b95cf60ca,https://images.unsplash.com/photo-1509440159596-0249088772ff,https://images.unsplash.com/photo-1542838132-92c53300491e,https://images.unsplash.com/photo-1584269600464-37b1b58a9fe7,https://images.unsplash.com/photo-1574316071802-0d684efa7bf5,Iodized salt,Daily kitchen essential,1kg Pack,salt grocery
20,Fortune Sunflower Oil,fortune-oil,Grocery,Edible Oil,Fortune,FOR-OIL5,950,899,50,200,5,No Warranty,0,India,4.7,8500,No,Active,Grocery Supplier,https://images.unsplash.com/photo-1474979266404-7eaacbcd87c5,https://images.unsplash.com/photo-1542838132-92c53300491e,https://images.unsplash.com/photo-1509440159596-0249088772ff,https://images.unsplash.com/photo-1556910103-1c02745aae4d,https://images.unsplash.com/photo-1596040033229-a9821ebd058d,https://images.unsplash.com/photo-1547592180-85f173990554,Healthy cooking oil,Refined sunflower oil,5L Pack,oil grocery
21,Daawat Basmati Rice,daawat-basmati-rice,Grocery,Rice,Daawat,DAA-RICE5,899,799,50,300,5,No Warranty,0,India,4.7,5600,No,Active,Grocery Supplier,https://images.unsplash.com/photo-1586201375761-83865001e31c,https://images.unsplash.com/photo-1542838132-92c53300491e,https://images.unsplash.com/photo-1509440159596-0249088772ff,https://images.unsplash.com/photo-1596040033229-a9821ebd058d,https://images.unsplash.com/photo-1536304997881-a372c179924b,https://images.unsplash.com/photo-1574316071802-0d684efa7bf5,Premium basmati rice,Long grain aromatic rice,5kg Pack,rice basmati grocery
22,Taj Mahal Tea,taj-mahal-tea,Grocery,Tea,Taj Mahal,TAJ-TEA1,650,599,20,250,1,No Warranty,0,India,4.8,8200,No,Active,Grocery Supplier,https://images.unsplash.com/photo-1597481499750-3e6b22637e12,https://images.unsplash.com/photo-1563822249548-9a72b6353cd1,https://images.unsplash.com/photo-1576092768241-dec231879fc3,https://images.unsplash.com/photo-1544787219-7f47ccb76574,https://images.unsplash.com/photo-1594631252845-29fc4cc8cde9,https://images.unsplash.com/photo-1571934811356-5cc561b63d2c,Premium tea leaves,Rich flavor tea,1kg Pack,tea grocery
23,Nescafe Classic,nescafe-classic,Grocery,Coffee,Nescafe,NES-COF01,499,449,20,180,0.5,No Warranty,0,India,4.7,6400,No,Active,Grocery Supplier,https://images.unsplash.com/photo-1495474472287-4d71bcdd2085,https://images.unsplash.com/photo-1509042239860-f550ce710b93,https://images.unsplash.com/photo-1514432324607-a09d9b4aefdd,https://images.unsplash.com/photo-1507133750040-4a8f57021571,https://images.unsplash.com/photo-1497935586351-b67a49e012bf,https://images.unsplash.com/photo-1541167760496-1628856ab772,Instant coffee,Rich coffee taste,200g Jar,coffee beverage
24,Parle G Family Pack,parle-g-family-pack,Grocery,Biscuits,Parle,PAR-BIS01,120,99,10,500,1,No Warranty,0,India,4.9,14000,No,Active,Grocery Supplier,https://images.unsplash.com/photo-1558961363-fa8fdf82db35,https://images.unsplash.com/photo-1590080875515-8a3a8dc5735e,https://images.unsplash.com/photo-1499636136210-6f4ce9127154,https://images.unsplash.com/photo-1542838132-92c53300491e,https://images.unsplash.com/photo-1509440159596-0249088772ff,https://images.unsplash.com/photo-1574316071802-0d684efa7bf5,Popular glucose biscuits,Family snack pack,800g Pack,biscuit grocery
25,Pampers Baby Diapers,pampers-baby-diapers,Baby Care,Diapers,Pampers,PAM-DIA01,899,799,50,100,1.2,No Warranty,0,India,4.8,4200,Yes,Active,Baby Supplier,https://images.unsplash.com/photo-1515488042361-ee00e0ddd4e4,https://images.unsplash.com/photo-1596464716127-f2a82984de30,https://images.unsplash.com/photo-1555252333-9f8e92e65df9,https://images.unsplash.com/photo-1522836924445-4478bdeb860c,https://images.unsplash.com/photo-1519689680058-324335c77ebd,https://images.unsplash.com/photo-1544816155-12df9643f363,Soft baby diapers,Comfort fit diapers,Medium Size,baby diaper
26,Cerelac Baby Food,cerelac-baby-food,Baby Care,Baby Food,Nestle,CER-FOOD01,399,349,20,90,0.5,No Warranty,0,India,4.7,3500,No,Active,Baby Supplier,https://images.unsplash.com/photo-1547592180-85f173990554,https://images.unsplash.com/photo-1596464716127-f2a82984de30,https://images.unsplash.com/photo-1555252333-9f8e92e65df9,https://images.unsplash.com/photo-1515488042361-ee00e0ddd4e4,https://images.unsplash.com/photo-1519689680058-324335c77ebd,https://images.unsplash.com/photo-1602164940761-04a014101694,Nutritious baby cereal,Balanced baby nutrition,300g Pack,baby food
27,American Tourister School Bag,school-bag,Fashion,School Bags,American Tourister,AT-BAG01,2499,1999,100,60,0.8,1 Year,0,India,4.5,1700,No,Active,Bag Supplier,https://images.unsplash.com/photo-1581605405669-fcdf81165afa,https://images.unsplash.com/photo-1553062407-98eeb64c6a62,https://images.unsplash.com/photo-1622560480605-d83c853bc5c3,https://images.unsplash.com/photo-1546750547-7c5322b8521c,https://images.unsplash.com/photo-1577733966973-d6b9139807de,https://images.unsplash.com/photo-1606220588913-b3aacb4d2f37,Durable school backpack,Comfortable shoulder straps,30L Capacity,school bag
28,Classmate Notebook,classmate-notebook,Stationery,Notebook,Classmate,CLS-NB01,120,99,5,400,0.3,No Warranty,0,India,4.8,7600,No,Active,Stationery Supplier,https://images.unsplash.com/photo-1531346680769-a1d79b57de5c,https://images.unsplash.com/photo-1516414447565-b14be0adf13e,https://images.unsplash.com/photo-1455390582262-044cdead277a,https://images.unsplash.com/photo-1586075010923-2dd4570fb338,https://images.unsplash.com/photo-1510519138101-570d1dca3d66,https://images.unsplash.com/photo-1531685222403-f928502d2b30,Premium notebook,Smooth writing paper,200 Pages,notebook stationery
29,Reynolds Ball Pen,reynolds-ball-pen,Stationery,Pens,Reynolds,REY-PEN01,100,79,5,800,0.05,No Warranty,0,India,4.6,5200,No,Active,Stationery Supplier,https://images.unsplash.com/photo-1455390582262-044cdead277a,https://images.unsplash.com/photo-1583485088034-697b5bc54ccd,https://images.unsplash.com/photo-1586075010923-2dd4570fb338,https://images.unsplash.com/photo-1516414447565-b14be0adf13e,https://images.unsplash.com/photo-1531346680769-a1d79b57de5c,https://images.unsplash.com/photo-1569003339405-ea396a5a8a90,Smooth writing pen,Blue ink pen,Pack of 10,pens stationery
30,Ergonomic Office Chair,office-chair,Furniture,Office Furniture,Green Soul,GS-CHAIR01,12999,9999,500,20,15,1 Year,0,India,4.5,890,No,Active,Furniture Supplier,https://images.unsplash.com/photo-1505843513577-22bb7d21e455,https://images.unsplash.com/photo-1580481072645-022f9a6dbf27,https://images.unsplash.com/photo-1592078615290-033ee584e267,https://images.unsplash.com/photo-1505797149-43b0069ec26b,https://images.unsplash.com/photo-1618221195710-dd6b41faaea6,https://images.unsplash.com/photo-1540518614846-7eded433c457,Comfort office chair,Ergonomic support chair,Adjustable Height,office chair
31,Study Table,study-table,Furniture,Study Furniture,Nilkamal,NIL-TBL01,6999,5499,200,25,18,1 Year,0,India,4.4,720,No,Active,Furniture Supplier,https://images.unsplash.com/photo-1518455027359-f3f8164ba6bd,https://images.unsplash.com/photo-1540518614846-7eded433c457,https://images.unsplash.com/photo-1618221195710-dd6b41faaea6,https://images.unsplash.com/photo-1505693416388-ac5ce068fe85,https://images.unsplash.com/photo-1595515106969-1ce29566ff1c,https://images.unsplash.com/photo-1533090161767-e6ffed986c88,Wooden study table,Compact workspace table,Engineered Wood,study table
32,Mi Smart Band 9,mi-smart-band-9,Electronics,Fitness Band,Xiaomi,MI-BAND09,4999,3999,200,80,0.1,1 Year,0,China,4.6,3200,Yes,Active,Xiaomi Distributor,https://images.unsplash.com/photo-1575311373937-040b8e1fd5b6,https://images.unsplash.com/photo-1507646227500-4d389b0012be,https://images.unsplash.com/photo-1517836357463-d25dfeac3438,https://images.unsplash.com/photo-1571019613914-85f342c55f55,https://images.unsplash.com/photo-1534438327276-14e5300c3a48,https://images.unsplash.com/photo-1434494878577-86c23bcb06b9,Fitness tracker,Health monitoring band,AMOLED Display,fitness band
33,Motorized Treadmill,treadmill,Fitness,Exercise Equipment,PowerMax,PM-TM01,39999,34999,1000,5,45,1 Year,0,India,4.5,350,No,Active,Fitness Supplier,https://images.unsplash.com/photo-1571019613914-85f342c55f55,https://images.unsplash.com/photo-1517836357463-d25dfeac3438,https://images.unsplash.com/photo-1541534741688-6078c6bfb5c5,https://images.unsplash.com/photo-1534438327276-14e5300c3a48,https://images.unsplash.com/photo-1574629810360-7efbbe195018,https://images.unsplash.com/photo-1518611012118-696072aa579a,Home treadmill,Foldable running machine,12 Programs,treadmill fitness
34,Adjustable Dumbbells,dumbbells,Fitness,Weights,Kore,KOR-DMB01,5999,4499,300,40,10,No Warranty,0,India,4.7,1250,No,Active,Fitness Supplier,https://images.unsplash.com/photo-1517836357463-d25dfeac3438,https://images.unsplash.com/photo-1571019613914-85f342c55f55,https://images.unsplash.com/photo-1541534741688-6078c6bfb5c5,https://images.unsplash.com/photo-1534438327276-14e5300c3a48,https://images.unsplash.com/photo-1574629810360-7efbbe195018,https://images.unsplash.com/photo-1605296867304-46d5465a25f1,Gym dumbbells,Strength training weights,20kg Set,dumbbells gym
35,SG Cricket Bat,sg-cricket-bat,Sports,Cricket,SG,SG-BAT01,2999,2499,100,35,1.2,No Warranty,0,India,4.5,2100,No,Active,Sports Supplier,https://images.unsplash.com/photo-1531415074968-036ba1b575da,https://images.unsplash.com/photo-1547941126-3d5322b21cfc,https://images.unsplash.com/photo-1607604276583-eef5d076aa5f,https://images.unsplash.com/photo-1517466787929-bc90951d0974,https://images.unsplash.com/photo-1626224583764-f87db24ac4ea,https://images.unsplash.com/photo-1508098682722-e99c43a406b2,English willow bat,Lightweight cricket bat,Full Size,cricket bat
36,Nivia Football,nivia-football,Sports,Football,Nivia,NIV-FB01,999,799,50,60,0.5,No Warranty,0,India,4.4,1450,No,Active,Sports Supplier,https://images.unsplash.com/photo-1517466787929-bc90951d0974,https://images.unsplash.com/photo-1508098682722-e99c43a406b2,https://images.unsplash.com/photo-1551958219-acbc608c6d77,https://images.unsplash.com/photo-1579952336920-430040356140,https://images.unsplash.com/photo-1563299796-17596ed6b017,https://images.unsplash.com/photo-1510566337590-2fc1f21d0faa,Training football,Durable stitched football,Size 5,football sports
37,Yonex Badminton Racket,yonex-racket,Sports,Badminton,Yonex,YON-RKT01,1999,1499,100,40,0.3,No Warranty,0,Japan,4.6,1800,No,Active,Sports Supplier,https://images.unsplash.com/photo-1626224583764-f87db24ac4ea,https://images.unsplash.com/photo-1613918108466-292b78a8ef95,https://images.unsplash.com/photo-1521537634581-0dced2fee2ef,https://images.unsplash.com/photo-1622589500616-26211fe89571,https://images.unsplash.com/photo-1617083277744-a159547ff141,https://images.unsplash.com/photo-1531415074968-036ba1b575da,Lightweight racket,Professional badminton racket,Carbon Graphite,badminton racket
38,Car Vacuum Cleaner,car-vacuum-cleaner,Automotive,Car Accessories,Agaro,AGA-VAC01,2499,1799,100,45,0.8,1 Year,0,China,4.3,950,No,Active,Auto Supplier,https://images.unsplash.com/photo-1503376780353-7e6692767b70,https://images.unsplash.com/photo-1558981806-ec527fa84c39,https://images.unsplash.com/photo-1568605117036-5fe5e7bab0b7,https://images.unsplash.com/photo-1617788138017-80ad40651399,https://images.unsplash.com/photo-1486006920555-c77dce18193b,https://images.unsplash.com/photo-1511919884226-fd3cad34687c,Portable vacuum,Car cleaning vacuum,120W Power,car vacuum
39,Steelbird Helmet,steelbird-helmet,Automotive,Bike Accessories,Steelbird,STB-HEL01,1999,1499,100,55,1.5,1 Year,0,India,4.7,2900,Yes,Active,Auto Supplier,https://images.unsplash.com/photo-1558981806-ec527fa84c39,https://images.unsplash.com/photo-1599819811279-d5ad9cccf838,https://images.unsplash.com/photo-1575844642701-3705001ff2a5,https://images.unsplash.com/photo-1485965120184-e220f721d03e,https://images.unsplash.com/photo-1449426468159-d96dbf08f19f,https://images.unsplash.com/photo-1503376780353-7e6692767b70,ISI certified helmet,Rider safety helmet,Full Face,helmet bike
40,Ambi Pur Car Perfume,car-perfume,Automotive,Car Care,Ambi Pur,AMB-PER01,299,249,20,100,0.2,No Warranty,0,India,4.4,2400,No,Active,Auto Supplier,https://images.unsplash.com/photo-1503376780353-7e6692767b70,https://images.unsplash.com/photo-1558981806-ec527fa84c39,https://images.unsplash.com/photo-1568605117036-5fe5e7bab0b7,https://images.unsplash.com/photo-1617788138017-80ad40651399,https://images.unsplash.com/photo-1486006920555-c77dce18193b,https://images.unsplash.com/photo-1511919884226-fd3cad34687c,Long lasting fragrance,Car freshener,Lavender Scent,car perfume
41,Pedigree Dog Food,pedigree-dog-food,Pet Supplies,Pet Food,Pedigree,PED-DOG01,799,699,50,120,3,No Warranty,0,India,4.8,4200,No,Active,Pet Supplier,https://images.unsplash.com/photo-1517849845537-4d257902454a,https://images.unsplash.com/photo-1543466835-00a7907e9de1,https://images.unsplash.com/photo-1530281700549-e82e7bf110d6,https://images.unsplash.com/photo-1583511655857-d19b40a7a54e,https://images.unsplash.com/photo-1552053831-71594a27632d,https://images.unsplash.com/photo-1544568100-847a948585b9,Adult dog food,Balanced nutrition,3kg Pack,dog food pet
42,Dog Leash,dog-leash,Pet Supplies,Pet Accessories,PawsIndia,PAW-LSH01,499,399,20,90,0.3,No Warranty,0,India,4.5,600,No,Active,Pet Supplier,https://images.unsplash.com/photo-1518717758536-85ae29035b6d,https://images.unsplash.com/photo-1517849845537-4d257902454a,https://images.unsplash.com/photo-1543466835-00a7907e9de1,https://images.unsplash.com/photo-1530281700549-e82e7bf110d6,https://images.unsplash.com/photo-1583511655857-d19b40a7a54e,https://images.unsplash.com/photo-1552053831-71594a27632d,Strong pet leash,Comfortable dog leash,Nylon Material,dog leash
43,Garden Hose Pipe,garden-hose,Garden,Gardening Tools,GardenPro,GAR-HOSE01,999,799,50,50,2,No Warranty,0,India,4.3,550,No,Active,Garden Supplier,https://images.unsplash.com/photo-1416879595882-3373a0480b5b,https://images.unsplash.com/photo-1585320806297-9794b3e4eeae,https://images.unsplash.com/photo-1466692476868-aef1dfb1e735,https://images.unsplash.com/photo-1592417817098-8f3d6eb19675,https://images.unsplash.com/photo-1507484467459-0cfa9c7a7013,https://images.unsplash.com/photo-1530595467537-0b5996c41f2d,Flexible water hose,Garden watering pipe,20 Meter,garden hose
44,Water Pump,water-pump,Home Improvement,Water Systems,Kirloskar,KIR-PMP01,8999,7999,300,12,10,1 Year,0,India,4.5,430,No,Active,Hardware Supplier,https://images.unsplash.com/photo-1581091226825-a6a2a5aee158,https://images.unsplash.com/photo-1504148455328-c376907d081c,https://images.unsplash.com/photo-1581092160607-ee22621dd758,https://images.unsplash.com/photo-1537462715879-360eeb61a0bc,https://images.unsplash.com/photo-1504307651254-35680f356dfd,https://images.unsplash.com/photo-1540104539488-92a51bbb0e84,High performance pump,Domestic water pump,1 HP Motor,water pump
45,Bosch Drill Machine,bosch-drill-machine,Tools,Power Tools,Bosch,BOS-DRL01,4999,4299,200,18,2.5,1 Year,0,Germany,4.7,1250,No,Active,Hardware Supplier,https://images.unsplash.com/photo-1504148455328-c376907d081c,https://images.unsplash.com/photo-1581092160607-ee22621dd758,https://images.unsplash.com/photo-1537462715879-360eeb61a0bc,https://images.unsplash.com/photo-1504307651254-35680f356dfd,https://images.unsplash.com/photo-1540104539488-92a51bbb0e84,https://images.unsplash.com/photo-1581091226825-a6a2a5aee158,Electric drill machine,Professional power tool,550W Motor,drill machine
46,Prestige Mixer Grinder,prestige-mixer-grinder,Home Appliances,Kitchen Appliances,Prestige,PRE-MIX01,4999,3999,200,30,4,1 Year,0,India,4.4,1850,No,Active,Kitchen Supplier,https://images.unsplash.com/photo-1570222094114-d054a817e56b,https://images.unsplash.com/photo-1588854337236-6889d631faa8,https://images.unsplash.com/photo-1556910103-1c02745aae4d,https://images.unsplash.com/photo-1596040033229-a9821ebd058d,https://images.unsplash.com/photo-1585515656973-8e1f96f8c89d,https://images.unsplash.com/photo-1571172964276-91faaa704e1d,Kitchen mixer grinder,Multi purpose grinder,750W Motor,mixer grinder
